Bank,Country,Europe,Asia,North America,Canada,UK,Australia,Cum % of Assets Loaned since 2016,2020 Assets (Billions),Policy - Total Coal (0/80),Policy - Total O&G (0/120),Policy - Total Scores (0/200),FFF - total rank,FFF - European Rank,FFF - Asian Rank,FFF - North American Rank,FFF - Canadian Rank,FFF - UK Rank,FFF - 2016,FFF - 2017,FFF - 2018,FFF - 2019,FFF - 2020,FFF - 2016-2020,FFF - Compared To 2016,AOG - Rank,AOG - European Rank,AOG - Asian Rank,AOG - North American Rank,AOG - Canadian Rank,AOG - UK Rank,AOG - 2016,AOG - 2017,AOG - 2018,AOG - 2019,AOG - 2020,AOG - Total,AOG - Compared To 2016,CM - Rank,CM - European Rank,CM - Asian Rank,CM - North American Rank,CM - Canadian Rank,CM - UK Rank,CM - 2016,CM - 2017,CM - 2018,CM - 2019,CM - 2020,CM - Total,CM - Compared To 2016,CP - Rank,CP - European Rank,CP - Asian Rank,CP - North American Rank,CP - Canadian Rank,CP - UK Rank,CP - 2016,CP - 2017,CP - 2018,CP - 2019,CP - 2020,CP - Total,CP - Compared To 2016,FFE - Rank,FFE - European Rank,FFE - Asian Rank,FFE - North American Rank,FFE - Canadian Rank,FFE - UK Rank,FFE - 2016,FFE - 2017,FFE - 2018,FFE - 2019,FFE - 2020,FFE - Total,FFE - Compared To 2016,FOG - Rank,FOG - European Rank,FOG - Asian Rank,FOG - North American Rank,FOG - Canadian Rank,FOG - UK Rank,FOG - 2016,FOG - 2017,FOG - 2018,FOG - 2019,FOG - 2020,FOG - Total,FOG - Compared To 2016,LNG - Rank,LNG - European Rank,LNG - Asian Rank,LNG - North American Rank,LNG - Canadian Rank,LNG - UK Rank,LNG - 2016,LNG - 2017,LNG - 2018,LNG - 2019,LNG - 2020,LNG - Total,LNG - Compared To 2016,OOG - Rank,OOG - European Rank,OOG - Asian Rank,OOG - North American Rank,OOG - Canadian Rank,OOG - UK Rank,OOG - 2016,OOG - 2017,OOG - 2018,OOG - 2019,OOG - 2020,OOG - Total,OOG - Compared To 2016,TS - Rank,TS - European Rank,TS - Asian Rank,TS - North American Rank,TS - Canadian Rank,TS - UK Rank,TS - 2016,TS - 2017,TS - 2018,TS - 2019,TS - 2020,TS - Total,TS - Compared To 2016
Sberbank,ru,TRUE,TRUE,,,,,2.7%,$482.53,0,0,0,52,17,18,-,-,-,"$4,040,000,000.00","$6,094,000,000.00","$841,000,000.00","$670,000,000.00","$1,148,000,000.00","$12,793,000,000.00",Down,4,1,3,-,-,-,"$146,143,258.00","$1,281,087,734.00","$224,823,360.00","$95,324,033.50","$198,848,650.00","$1,946,227,035.00",Up,33,13,15,-,-,-,"$141,952,410.00","$107,462,142.00",$0.00,"$101,210,057.00","$53,626,319.40","$404,250,928.00",Down,50,17,24,-,-,-,$0.00,"$10,582,010.60",$0.00,"$16,451,840.50","$16,837,032.50","$43,870,883.60",Up,30,10,10,-,-,-,"$3,518,055,952.00","$5,521,133,676.00","$840,659,575.00","$375,167,741.00","$888,306,753.00","$11,143,000,000.00",Down,47,17,18,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,17,7,4,-,-,-,"$3,069,000,000.00",$0.00,$0.00,$0.00,$0.00,"$3,069,000,000.00",Down,49,20,21,-,-,-,"$16,605,990.50","$64,646,286.70","$23,783,731.80","$22,290,578.40","$56,548,450.50","$183,875,038.00",Up,51,19,20,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal
NAB,au,,TRUE,,,,TRUE,0.8%,$571.34,11.5,2.5,14,56,-,22,-,-,-,"$833,000,000.00","$502,000,000.00","$1,158,000,000.00","$1,298,000,000.00","$641,000,000.00","$4,432,000,000.00",Down,,21,23,11,5,5,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,41,-,17,-,-,-,"$56,963,111.20","$40,744,376.20","$56,167,120.20","$85,817,689.10","$86,018,479.80","$325,710,776.00",Up,43,-,20,-,-,-,$0.00,$0.00,"$124,147,481.00",$0.00,$0.00,"$124,147,481.00",Equal,53,-,22,-,-,-,"$65,313,125.54","$46,944,607.37","$128,519,985.00","$323,142,417.00","$256,464,565.00","$820,384,700.00",Up,47,17,18,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,38,-,11,-,-,-,$0.00,$0.00,"$62,400,000.00","$209,412,308.00","$134,074,074.00","$405,886,382.00",Up,52,21,23,11,5,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,51,19,20,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal
Commonwealth Bank,au,,TRUE,,,,TRUE,0.9%,$688.40,12,6,18,50,-,21,-,-,-,"$1,145,000,000.00","$648,000,000.00","$1,889,000,000.00","$886,000,000.00","$1,675,000,000.00","$6,243,000,000.00",Up,50,-,22,-,-,-,$0.00,"$11,988,746.90",$0.00,"$1,477,779.31",$0.00,"$13,466,526.20",Equal,42,-,18,9,4,-,"$35,372,240.80","$40,744,376.20","$56,167,120.20","$85,817,689.10","$86,018,479.80","$304,119,906.00",Up,43,-,20,-,-,-,$0.00,$0.00,"$124,147,481.00",$0.00,$0.00,"$124,147,481.00",Equal,51,-,20,-,-,-,"$107,223,995.30","$406,013,234.40","$302,174,282.00","$364,000,834.00","$1,247,339,565.00","$2,426,751,911.00",Up,47,17,18,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,33,-,9,-,-,-,"$43,020,994.30","$89,199,590.30","$236,054,297.00","$117,961,468.00","$74,074,074.00","$560,310,423.00",Up,34,-,11,-,-,-,"$23,645,672.70",$0.00,$0.00,$0.00,"$1,050,875,000.00","$1,074,520,673.00",Up,45,-,16,-,-,-,$0.00,"$17,235,040.80",$0.00,"$9,304,772.40",$0.00,"$26,539,813.30",Equal
Rabobank,nl,TRUE,,,,,,1.2%,$662.77,19.5,8.5,28,53,21,-,-,-,-,"$1,960,000,000.00","$1,424,000,000.00","$1,911,000,000.00","$1,929,000,000.00","$983,000,000.00","$8,207,000,000.00",Down,,21,23,11,5,5,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,46,18,-,-,-,-,"$152,846,797.00","$40,744,376.20",$0.00,$0.00,$0.00,"$193,591,174.00",Down,53,20,25,12,4,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,55,20,-,-,-,-,"$318,057,280.30","$96,944,607.37","$41,666,667.00","$40,000,000.00","$52,500,000.00","$549,168,555.00",Down,47,17,18,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,57,24,24,13,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,46,19,-,-,-,-,"$120,381,215.00","$48,204,415.20","$40,353,061.70","$39,500,503.60","$50,000,171.10","$298,439,366.00",Down,51,19,20,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal
State Bank of India,in,,TRUE,,,,,3.8%,$561.54,0,0,0,48,-,16,-,-,-,"$6,287,000,000.00","$6,348,000,000.00","$704,000,000.00","$6,210,000,000.00","$1,929,000,000.00","$21,478,000,000.00",Down,21,-,10,-,-,-,$0.00,"$19,717,991.10",$0.00,"$541,926,836.00","$45,523,561.90","$607,168,389.00",Up,47,-,21,-,-,-,$0.00,$0.00,"$143,015,296.00",$0.00,$0.00,"$143,015,296.00",Equal,31,-,17,-,-,-,"$404,146,730.00","$328,941,734.00","$127,266,525.00","$163,123,983.00","$349,698,939.00","$1,373,177,911.00",Down,41,-,15,-,-,-,"$441,928,632.50","$605,319,816.90","$270,281,821.00","$4,289,901,410.00","$577,346,203.00","$6,184,777,883.00",Up,47,17,18,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,57,24,24,13,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,23,-,8,-,-,-,$0.00,"$189,841,605.00",$0.00,"$2,614,679,680.00","$149,906,169.00","$2,954,427,454.00",Up,51,19,20,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal
Nordea,fi,TRUE,,,,,,1.5%,$622.66,6,6.5,12.5,51,20,-,-,-,-,"$2,802,000,000.00","$1,910,000,000.00","$1,184,000,000.00","$2,013,000,000.00","$1,574,000,000.00","$9,484,000,000.00",Down,48,20,-,-,-,-,$0.00,$0.00,$0.00,"$27,769,121.00",$0.00,"$27,769,121.00",Equal,48,19,-,-,-,-,"$86,661,548.40",$0.00,$0.00,$0.00,$0.00,"$86,661,548.40",Down,53,20,25,12,4,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,58,22,-,-,-,-,"$112,499,952.00",$0.00,$0.00,$0.00,$0.00,"$112,499,952.00",Down,47,17,18,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,30,17,-,-,-,-,"$237,166,667.00","$129,040,500.00",$0.00,"$443,229,167.00","$76,536,227.00","$885,972,561.00",Down,52,21,23,11,5,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,51,19,20,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal
DZ Bank,de,TRUE,TRUE,,,,,0.2%,$627.31,12,2.5,14.5,59,23,23,-,-,-,"$243,000,000.00","$298,000,000.00","$416,000,000.00","$248,000,000.00","$356,000,000.00","$1,561,000,000.00",Up,31,12,14,-,-,-,$0.00,"$20,822,021.80","$157,250,710.00","$27,769,121.00","$43,000,350.10","$248,842,203.00",Up,50,20,22,-,-,5,$0.00,$0.00,$0.00,"$25,986,989.90",$0.00,"$25,986,989.90",Equal,48,15,23,-,-,4,$0.00,$0.00,$0.00,"$46,143,061.90",$0.00,"$46,143,061.90",Equal,57,21,25,-,-,-,$0.00,"$75,000,000.00",$0.00,$0.00,"$87,222,222.20","$162,222,222.00",Up,47,17,18,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,45,22,16,-,-,-,$0.00,"$75,000,000.00",$0.00,$0.00,"$87,222,222.20","$162,222,222.00",Up,52,21,23,11,5,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,51,19,20,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal
Westpac,au,,TRUE,,,,TRUE,1.1%,$611.47,11,2.5,13.5,55,-,20,-,-,-,"$611,000,000.00","$1,241,000,000.00","$974,000,000.00","$2,969,000,000.00","$720,000,000.00","$6,514,000,000.00",Up,29,-,12,-,-,-,$0.00,$0.00,$0.00,"$261,724,543.00","$6,648,385.10","$268,372,928.00",Up,52,-,23,-,-,-,$0.00,$0.00,$0.00,"$3,785,122.39",$0.00,"$3,785,122.39",Equal,47,-,22,-,-,-,$0.00,$0.00,"$20,851,332.80","$28,792,544.60",$0.00,"$49,643,877.40",Equal,52,-,21,-,-,-,"$66,666,667.00","$722,435,896.00",$0.00,"$766,666,667.00","$111,111,111.00","$1,666,880,341.00",Up,47,17,18,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,31,-,8,-,-,-,"$43,020,994.30","$194,666,666.00",$0.00,"$549,000,000.00",$0.00,"$786,687,660.00",Down,39,-,14,-,-,-,"$23,645,672.70","$527,769,230.00",$0.00,"$156,598,122.00","$84,507,756.50","$792,520,781.00",Up,48,-,18,-,-,-,"$17,810,639.10",$0.00,$0.00,$0.00,$0.00,"$17,810,639.10",Down
Danske Bank,dk,TRUE,,,,,,1.0%,$564.83,14,2,16,54,22,-,-,-,-,"$1,099,000,000.00","$799,000,000.00","$1,324,000,000.00","$1,675,000,000.00","$915,000,000.00","$5,813,000,000.00",Down,,21,23,11,5,5,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,53,22,24,11,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,53,20,25,12,4,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,60,24,-,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,47,17,18,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,35,19,-,-,-,-,"$281,082,417.00","$129,040,500.00",$0.00,"$21,562,500.00","$76,536,227.00","$508,221,644.00",Down,52,21,23,11,5,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,51,19,20,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal
Shinhan,kr,,TRUE,,,,,0.2%,$478.50,5,1.5,6.5,58,-,24,-,-,-,"$155,000,000.00","$276,000,000.00","$93,000,000.00","$199,000,000.00","$373,000,000.00","$1,096,000,000.00",Up,,21,23,11,5,5,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,53,22,24,11,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,53,20,25,12,4,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,54,-,23,-,-,-,"$154,569,450.00","$153,901,050.00","$66,775,276.00","$158,223,620.00","$231,569,395.00","$765,038,791.00",Up,47,17,18,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,57,24,24,13,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,47,-,19,-,-,-,"$56,291,202.80","$56,113,382.90","$24,365,539.10","$63,872,049.50","$85,186,194.20","$285,828,368.00",Up,51,19,20,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal
SuMi TRUST,jp,,TRUE,,,,,0.1%,$509.28,3,0.5,3.5,57,-,25,-,-,-,"$169,000,000.00",$0.00,$0.00,$0.00,"$426,000,000.00","$596,000,000.00",Up,,21,23,11,5,5,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,53,22,24,11,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,39,-,19,-,-,-,"$140,020,000.00",$0.00,$0.00,$0.00,"$226,200,000.00","$366,220,000.00",Up,56,-,24,-,-,-,$0.00,$0.00,$0.00,$0.00,"$426,200,000.00","$426,200,000.00",Up,47,17,18,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,43,-,15,-,-,-,$0.00,$0.00,$0.00,$0.00,"$200,000,000.00","$200,000,000.00",Up,52,21,23,11,5,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,51,19,20,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal
Crédit Mutuel,fr,TRUE,,,,,,0.0%,$976.14,75,15,90,60,24,-,-,-,-,"$19,000,000.00","$35,000,000.00","$123,000,000.00","$108,000,000.00",$0.00,"$284,000,000.00",Down,,21,23,11,5,5,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,53,22,24,11,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,53,20,25,12,4,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,59,23,-,-,-,-,$0.00,$0.00,"$62,400,000.00",$0.00,$0.00,"$62,400,000.00",Equal,47,17,18,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,51,23,-,-,-,-,$0.00,$0.00,"$62,400,000.00",$0.00,$0.00,"$62,400,000.00",Equal,52,21,23,11,5,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal,51,19,20,-,-,-,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Equal
