|FRN|Firm|
|213321|Unify Credit Union Limited|
|213822|Vale of Leven Credit Union Limited|
|213959|Value Credit Union Limited|
|573607|Victoria Credit Union Limited|
|213714|W.H.E.B. Credit Union Limited|
|213796|Walsave Credit Union Limited|
|213408|Waltham Forest Council Employee Credit Union Limited|
|576113|Waterside Credit Union Limited|
|214302|Watford Credit Union Limited|
|574107|WBR Credit Union Limited|
|227415|West Cheshire Credit Union Limited|
|475226|West Sussex and Surrey Credit Union Limited|
|574112|West Tyrone Credit Union Limited|
|452610|Western Isles Credit Union Limited|
|230768|Weston Super Mare and District Credit Union Limited|
|213468|Wherry Dragon Credit Union Limited|
|213903|White Cart Credit Union Limited|
|213589|Whitehaven Egremont & District Credit Union Limited|
|573795|Willowfield Credit Union Limited|
|213793|Wiltshire and Swindon Credit Union|
|213947|Wishaw Credit Union Limited|
|214284|Wolverhampton City Council Employees Credit Union Limited|
|833240|YourB Credit Union Limited|
