#ID_RSSD_PREDECESSOR,ID_RSSD_SUCCESSOR,D_DT_TRANS,TRNSFM_CD,ACCT_METHOD,DT_TRANS
1073364,1073757,"10/01/1993 00:00:00",1,0,19931001
1073373,1901056,"03/14/2000 00:00:00",1,0,20000314
1073382,1956467,"12/31/1996 00:00:00",1,0,19961231
1073391,1072992,"12/31/1998 00:00:00",1,0,19981231
1073403,745178,"04/17/2000 00:00:00",1,0,20000417
1073412,745178,"07/01/1989 00:00:00",1,0,19890701
1073449,2349093,"09/01/1995 00:00:00",1,0,19950901
1073476,1073485,"12/31/2003 00:00:00",1,0,20031231
1073485,3084234,"12/31/2007 00:00:00",1,0,20071231
1073506,1979037,"12/31/2003 00:00:00",1,0,20031231
1073551,1120754,"12/31/2008 00:00:00",1,0,20081231
1073560,451965,"05/06/2011 00:00:00",1,1,20110506
1073579,1073551,"02/29/1996 00:00:00",1,0,19960229
1073597,1073551,"01/01/1995 00:00:00",1,0,19950101
1073609,484422,"01/02/1987 00:00:00",1,0,19870102
1073627,1079375,"07/02/1992 00:00:00",1,0,19920702
1073672,2752189,"10/01/2000 00:00:00",1,0,20001001
1073681,794578,"10/25/2001 00:00:00",1,0,20011025
1073702,1196870,"01/02/1987 00:00:00",1,0,19870102
1073711,1073672,"08/01/1987 00:00:00",1,0,19870801
1073720,2892160,"05/25/2000 00:00:00",1,0,20000525
1073739,1073672,"08/19/1989 00:00:00",1,0,19890819
1073748,794578,"05/02/2000 00:00:00",1,0,20000502
1073766,1073869,"04/01/1988 00:00:00",1,0,19880401
1073775,1073869,"04/01/1988 00:00:00",1,0,19880401
1073784,1073869,"08/30/2002 00:00:00",1,0,20020830
1073805,1024759,"09/29/2006 00:00:00",1,0,20060929
1073814,1902110,"12/22/1999 00:00:00",1,0,19991222
1073823,1072992,"12/31/1997 00:00:00",1,0,19971231
1073832,1073869,"04/01/1988 00:00:00",1,0,19880401
1073850,1072992,"12/31/1998 00:00:00",1,0,19981231
1073869,3084234,"09/24/2003 00:00:00",1,0,20030924
1073878,1073869,"04/01/1988 00:00:00",1,0,19880401
1073887,1073869,"04/01/1988 00:00:00",1,0,19880401
1073908,1073869,"04/01/1988 00:00:00",1,0,19880401
1073953,1073869,"08/30/2002 00:00:00",1,0,20020830
1073971,2087005,"12/01/1994 00:00:00",1,0,19941201
1074008,1083206,"07/22/1988 00:00:00",1,0,19880722
1074017,1072992,"12/31/1998 00:00:00",1,0,19981231
1074035,1844434,"10/31/1990 00:00:00",1,0,19901031
1074071,1424096,"05/02/1992 00:00:00",1,0,19920502
1074080,1102004,"01/01/1991 00:00:00",1,0,19910101
1074099,3122033,"08/10/2001 00:00:00",1,0,20010810
1074101,1102004,"01/01/1992 00:00:00",1,0,19920101
1074231,1073551,"12/01/1985 00:00:00",1,0,19851201
1074240,1074295,"11/27/1985 00:00:00",1,0,19851127
1074295,484422,"04/01/1988 00:00:00",1,0,19880401
1074307,1074295,"12/02/1985 00:00:00",1,0,19851202
1074316,1073618,"01/01/1986 00:00:00",1,0,19860101
1074334,761374,"12/02/1985 00:00:00",1,0,19851202
1074343,761374,"12/02/1985 00:00:00",1,0,19851202
1074352,1073627,"01/01/1986 00:00:00",1,0,19860101
1074361,1073645,"12/01/1985 00:00:00",1,0,19851201
1074389,2224659,"12/10/2002 00:00:00",1,0,20021210
1074398,392620,"07/01/2000 00:00:00",1,1,20000701
1074437,1074370,"01/02/1989 00:00:00",1,0,19890102
1074446,761374,"04/01/2002 00:00:00",1,0,20020401
1074473,1831715,"01/01/1991 00:00:00",1,0,19910101
1074482,1101810,"05/02/1992 00:00:00",1,0,19920502
1074503,1074473,"12/02/1990 00:00:00",1,0,19901202
1074512,1074473,"12/02/1990 00:00:00",1,0,19901202
1074521,1074473,"12/02/1990 00:00:00",1,0,19901202
1074567,1074156,"08/10/2001 00:00:00",1,0,20010810
1074660,1037003,"04/01/2003 00:00:00",1,0,20030401
1074697,2238348,"04/01/2003 00:00:00",1,0,20030401
1074727,2303282,"04/03/1998 00:00:00",1,0,19980403
1074763,1074660,"12/16/1994 00:00:00",1,0,19941216
1074790,1074156,"03/01/1995 00:00:00",1,0,19950301
1074820,1072237,"05/01/1989 00:00:00",1,0,19890501
1074866,2270281,"03/06/1999 00:00:00",1,0,19990306
1074875,1136157,"12/15/1997 00:00:00",1,0,19971215
1074893,1120754,"02/01/2012 00:00:00",1,0,20120201
1074923,1136157,"11/01/1997 00:00:00",1,0,19971101
1074932,1074923,"04/02/1991 00:00:00",1,0,19910402
1074969,1076767,"01/31/2006 00:00:00",1,0,20060131
1075005,1075201,"01/01/1988 00:00:00",1,0,19880101
1075041,1072291,"01/01/1995 00:00:00",1,0,19950101
1075126,1069778,"05/14/2005 00:00:00",1,0,20050514
1075153,1088322,"01/01/1990 00:00:00",1,0,19900101
1075201,1074156,"07/07/2000 00:00:00",1,0,20000707
