,tag,title,updated_at,link,address,postal_code,city,country,website,filink_id
85,firstrand_group_ltd,FirstRand,2020-11-03 00:00:00,https://www.banktrack.org/bank/firstrand_group_ltd,"4 Merchant Place, Cnr. Fredman Drive & Rivonia Road, 4th Floor",2196,Sandton,South Africa,https://www.firstrand.co.za/,1489
86,fmo,FMO,2021-05-21 13:46:49,https://www.banktrack.org/bank/fmo,Anna van Saksenlaan 71  ,2593 HW,The Hague,Netherlands,http://www.fmo.nl,1601
87,kfw_ipex_bank,KfW IPEX-Bank,2021-05-06 00:00:00,https://www.banktrack.org/bank/kfw_ipex_bank,Palmengartenstrasse 5-9,60325,Frankfurt am Main,Germany,https://www.kfw-ipex-bank.de/International-financing/KfW-IPEX-Bank/,1492
88,lloyds_banking_group_plc,Lloyds Banking Group,2021-02-05 00:00:00,https://www.banktrack.org/bank/lloyds_banking_group_plc,25 Gresham Street,EC2V 7HN,London,United Kingdom,http://www.lloydsbankinggroup.com,354
89,seb,Skandinaviska Enskilda Banken (SEB),2020-12-01 11:49:40,https://www.banktrack.org/bank/seb,Kungsträdgårdsgatan 8,SE 106-40,Stockholm,Sweden,https://sebgroup.com/,1636
90,bnp_paribas_fortis,BNP Paribas Fortis,2021-04-09 00:00:00,https://www.banktrack.org/bank/bnp_paribas_fortis,Warandeberg 3,B-1000,Brussels,Belgium,https://www.bnpparibasfortis.com/,1498
91,garantibank,Garanti BBVA,2021-03-18 11:59:51,https://www.banktrack.org/bank/garantibank,Maslak Mahallesi Eski Büyükdere Caddesi No:23,34450,Istanbul,Turkey,https://www.garantibbva.com.tr/en,857
92,akbank,Akbank,2021-03-14 00:00:00,https://www.banktrack.org/bank/akbank,Sabanci Center 4.Levent,34330,Istanbul,Turkey,http://www.akbank.com/en-us/Pages/default.aspx,858
93,bmce_bank,BMCE Bank of Africa,2021-07-26 15:03:48,https://www.banktrack.org/bank/bmce_bank,"140, Avenue Hassan II",P.O. Box 13425 Casa,Casablanca,Morocco,https://www.bankofafrica.ma/en/bank-of-africa,287
94,agricultural_bank_of_china,Agricultural Bank of China,2021-01-21 00:00:00,https://www.banktrack.org/bank/agricultural_bank_of_china,"No.69, Jianguomen, NeiAvenue, Dongcheng District",100005,Beijing,China,http://www.abchina.com/en/,193
